116;214;Золотая Корона USD;USD ЗолКорона;840;4;00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
117;89;Payeer RUB;RUB Payeer;643;1;10111111111111111111111111111111111111111110111111111111111111000000101111111111111111111100101110000011110011110010011100001101111111111111111111111111111111111111111111110111010001111111111101110000101111101001111111111000000
118;153;ПУМБ;UAH ПУМБ;980;3;10111111111111111111111111111110011111011110101111111111111111100000001111110111111111111100011110000011000000110010001100111101001001111111111111101111111111111011111101110011000001000111111000011000000100000000000000010000000
119;198;Любой банк INR;INR Банк;356;3;10001001000110110001101111110010011100001000001101111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
120;84;Advanced Cash EUR;EUR AdvCash;978;1;10111111111111111111111111111111111111111110111111111111111111000000101111111111111111111111111111111011011011110000001100001101111101111111111111111111111111111111111111110111010001111111111101111100101111001001111111111110000
121;83;Advanced Cash RUB;RUB AdvCash;643;1;10111111111111111111111111111111111111111110111111111111111111000000101111111111111111111111101110000011111011110010011100101101111111111111111111111111111111111111111111110111010001111111111101111000101111101001111111111100000
122;90;Payeer EUR;EUR Payeer;978;1;10111111101111111111111111111111111111111110111111111111111111000000101111111111111111111111001111111011110011110000001100000101101001111111111111111111111111111111111111110111010001111111111001110000101111001001111111110000000
123;92;Skrill EUR;EUR Skrill;978;1;10001101001111101111111111111111111111111110111111111111000001001001001100110111011100010100000000000000000000000000000000000101001001111111111111001111111101111011110100000000000000000101000000000000100000000000000000010100000
124;39;Verge (XVG);XVG;107;0;10111111101111111111111111111111111111111110111111111111111111000000001111111111111111011111001010000000000011101000000000000101101011111111111111001111110111111111111111110111010001110111111001010000100100000001100110010100001
125;104;NixMoney EUR;EUR NixMoney;978;1;10001101001111001101100001000100011110001000000001100100000000000000101100011000011100011100000000000010000000000000000000000100001000001000101000001111110001111000010100000000000000000000001000000000000000000000000000010000000
126;120;Binance RUB;RUB Binance;643;2;10111111101111111111111111110010011100001000101111111111101110000000001100010000011111111100000000000000000000000000000100000101001001010111111111001111111100000001010000000000000001000010100000000000000000000000000000000000000
127;77;QIWI KZT;KZT QIWI;398;1;10001101001111001100100001000100011110001000000001100100000000000000001100010000011100011100000000000011010000000000000000000000000000000000000000000000000001111000000100000000000000000000001000000000000000000000000000000000000
128;73;Perfect Money BTC;BTC PM;967;1;10111111101111111101111111111111111111111110111111111111101101000000001111111111111111111100001010000010000010110000000000000101001001111111111111101111111111111111111111110111010001110111111101110000100100000000000000000000000
129;115;Exmo USD;USD Exmo;840;2;10001001001111101111100000000100001100001000000000000001000000000000101101110000011100011110011010000010000000000000000000000101001001111111111111001111111101111101010100010000000001000010101000000000000000100000000000010000000
130;116;Exmo RUB;RUB Exmo;643;2;10001001001111101111100000000100001100001000000000000000000001000000001100010101011100011100000000000000000000000000000000000101001001101101010100001000000000000011010000000000000000000010000000000000000000100000000000000000000
131;2;Bitcoin LN (BTC);BTC;967;0;10001001001111111101111111100000010100001000100100000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
132;141;РНКБ;RUB РНКБ;643;3;10111111101111111111111111111111111111111110111111111111111101000000001111110111111111011100001110000011000001110000000000000000000000000000000000001111111100000001010100000000000000000010100000000000000000000000000000010000000
133;37;Waves (WAVES);WAVES;106;0;10111111111111111111111111111111111101111110111111111111111111000000001111111111111111111111011011111111011111111000000000101101001011111111111111111111111111111111111111111111010001110111111101110000101100111111111001110100001
134;43;Komodo (KMD);KMD;111;0;10011011001111111101111111111110011111111110111111111110011101000000001100110100011100011111001000000000000001101000000000000101111101111111111111101000010000000001010000000000000000000111100000000000100100000001100110011100001
135;46;Ontology (ONT);ONT;1003;0;10011111001111111111111111111111111111111110111111111111011111000000001111111111111111011111001010000000000011101100000000000101111001111111111111101111111111111111111111110111010001110111111001010000100100000001100110011100001
136;99;Neteller EUR;EUR Neteller;978;1;10001101001111001101100001000100011110001000000001100100000000000000001100110000010100010110000000000000000000000000000000000101001000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000
